regime,split_seed,target,horizon_k,n_train,n_test,r2,mae,per_r2,per_mae,var_test
random_dates,2,salinity,2,531,84,0.8199713467224892,1.6943643360875902,0.764591447927538,1.7048452380952384,22.763127835034012
random_dates,2,salinity,3,547,51,0.6898557375809728,2.180155340226491,0.5802614043987404,2.5994156862745097,24.47634485222607
random_dates,2,Chl_a_log1p,1,653,109,0.45691985699257287,0.478957663336698,-0.08054080764441318,0.6924358271347972,0.8528614882099881
random_dates,2,Chl_a_log1p,2,678,151,0.525686579548547,0.4400016465870037,0.38298535402920575,0.5210269230296197,0.7769154867783701
random_dates,2,Chl_a_log1p,3,652,102,0.5714624641035815,0.37489734262954877,0.3460821638547198,0.5010277918029914,0.7390017105123586
random_dates,2,Caffeine,1,582,78,0.12292654025741578,10.016300702706362,0.10399025079353674,8.078205128205127,260.1226561472716
random_dates,2,Caffeine,2,639,105,0.3882881807655201,15.015480849856422,-0.6421064483276535,22.432380952380953,967.9234467120183
random_dates,2,Caffeine,3,613,110,0.12484674855398747,19.974410889365455,0.08367563914322607,24.680909090909086,2535.443292561984
random_dates,2,Metoprolol,1,667,112,0.39788591163984355,13.91606819470014,0.42280335460110496,11.610714285714286,925.8564724170919
random_dates,2,Metoprolol,2,647,105,0.21441922270927039,19.282908348355978,-0.31193182768273253,23.084761904761905,1470.7434503401362
random_dates,2,Metoprolol,3,537,104,0.23712593005996863,17.697323458355207,-0.3184002893915794,15.302884615384615,1423.6356360946747
random_dates,2,Atrazine,1,664,95,-0.012667795366027024,0.11195572622491073,-0.8305819809737005,0.15157894736842106,0.30096842105263133
random_dates,2,Atrazine,2,548,90,-0.0335867994141108,0.11588048552240554,-0.022262607905497056,0.08555555555555555,0.3287913580246915
random_dates,2,Atrazine,3,612,153,0.15081150684847644,0.3129315330439971,-0.24180871739857324,0.33986928104575165,0.9811747618437354
random_dates,3,temperature,1,549,92,0.9412423009890178,1.3152982368042316,0.9623688167890022,1.0916470930043478,44.24919701473388
random_dates,3,temperature,2,555,151,0.9576033410213565,0.998416314848843,0.9533559204572453,1.0527225165562912,39.366697904875224
random_dates,3,temperature,3,538,81,0.9262994788177151,1.2889067949177306,0.8171049923587161,2.0780197530864206,33.977867107154395
random_dates,3,salinity,1,623,168,0.7357079085380356,1.74572846254678,0.71013286852905,1.7861297619047618,21.52385513668332
random_dates,3,salinity,2,547,75,0.7329769752520368,1.9810374969711306,0.6021984905729694,2.306909333333334,25.808399572576004
random_dates,3,salinity,3,563,116,0.6562612189681217,2.338169592082409,0.6660471140677398,2.327731009860934,26.55114061717162
random_dates,3,Chl_a_log1p,1,635,88,0.5871961066936888,0.4186350878779493,0.5598202962940175,0.4192732357235586,0.719927773814083
random_dates,3,Chl_a_log1p,2,652,134,0.6254867630104046,0.36698056672785584,0.3312568555847317,0.48147731340417,0.651918239677949
random_dates,3,Chl_a_log1p,3,630,103,0.668698466708202,0.4147323294132272,0.37170703776682534,0.5689044490183771,1.0851031655020595
random_dates,3,Caffeine,1,635,99,0.1983940622267033,11.355407863193092,0.342841094994639,9.425252525252525,457.18797877767565
random_dates,3,Caffeine,2,572,121,0.5163535541144961,14.837129709543275,0.302215232616455,17.925619834710748,1123.5224615804932
random_dates,3,Caffeine,3,620,80,0.32224197587105385,13.28166021823883,-0.0362872363570419,17.05375,709.30949375
random_dates,3,Metoprolol,1,676,143,0.35371141658446303,16.14232200569623,-0.024826179133434767,17.708391608391608,1752.8002611374648
random_dates,3,Metoprolol,2,581,102,0.21943190385586508,15.795321995721144,0.20353305862961268,14.904901960784313,1516.4332112648976
random_dates,3,Metoprolol,3,586,77,0.26509659794871265,19.00937881005275,0.19615421232915675,20.875324675324674,3744.655058188566
random_dates,3,Atrazine,1,595,141,0.10254143503734026,0.2170489727805021,0.29725209804816377,0.14893617021276595,0.7296584678839092
random_dates,3,Atrazine,2,592,68,0.13709032764497286,0.2641217161973199,0.09857263027699537,0.16323529411764706,0.6504390138408304
random_dates,3,Atrazine,3,602,108,-0.028786238529554975,0.1679028823182172,-1.0521858999606142,0.2657407407407407,0.4701851851851852
random_dates,4,temperature,1,593,83,0.8873736576209655,1.0713544052445747,0.9199361914721921,0.9249457831325301,16.411978045922485
random_dates,4,temperature,2,564,135,0.9547676426034614,0.8590845852378562,0.934135433796145,1.0448140740740741,24.097660137456238
random_dates,4,temperature,3,593,79,0.9814477352344,0.8105701887879192,0.8956584726976017,2.0587759493670883,54.49030374644769
random_dates,4,salinity,1,520,81,0.6456520846555682,2.395025632715814,0.6364960234900715,2.3640765432098765,25.628862898512423
random_dates,4,salinity,2,519,101,0.49457187911568945,3.0077886250755133,0.572971732710398,2.476761569475748,33.229457194754886
random_dates,4,salinity,3,474,105,0.5940030196617281,2.5556500731940495,0.774338839330466,1.7279704761904762,25.553967629356915
random_dates,4,Chl_a_log1p,1,714,107,0.44965734548892233,0.4271738156373228,-0.017143573141559676,0.5667873697971576,0.6485023541176684
random_dates,4,Chl_a_log1p,2,732,151,0.723217995632983,0.3749975474277449,0.5183139232139347,0.5023212891332034,1.0282051907802245
random_dates,4,Chl_a_log1p,3,683,123,0.5815533541894485,0.410090709705392,0.33513774799617324,0.5427292116649373,0.8830782820727637
random_dates,4,Caffeine,1,594,84,-0.6230825393910673,17.986350177583244,-0.6347111551453504,18.33452380952381,520.7130045351474
random_dates,4,Caffeine,2,592,126,-0.016891590170545756,18.10658814188034,-0.22657753629907473,21.534920634920635,929.5461904761905
random_dates,4,Caffeine,3,660,91,-0.06426153333207085,24.921112008147187,-0.0910294107661267,20.916483516483513,1498.8226204564664
random_dates,4,Metoprolol,1,605,94,0.2862660020732605,13.052811611205973,0.025361666063639876,11.600000000000001,561.6254594839291
random_dates,4,Metoprolol,2,564,104,0.19184401948459728,21.17509520970858,0.4009332422552242,18.444230769230767,2147.1534726331365
random_dates,4,Metoprolol,3,582,101,0.21278838572100867,18.397242410466223,0.3507201699194141,19.451485148514852,2895.989124595627
random_dates,4,Atrazine,2,651,82,-0.11641029828131,0.4407020110907402,-0.24600815981102198,0.4670731707317073,1.3636719214753124
random_dates,4,Atrazine,3,559,119,-0.025392447491064285,0.1668041618795236,-0.7074565404013313,0.2176470588235294,0.5264599957630108
random_pairs,0,temperature,1,845,335,0.9790964494952525,0.6801898441695557,0.9558462688671128,0.9887185565967168,38.184936124811706
random_pairs,0,temperature,2,830,323,0.9787660990597882,0.7000467615073409,0.917369410061351,1.3999250055371517,39.461396756032656
random_pairs,0,temperature,3,817,316,0.9720193778942279,0.755736482436564,0.8874572830733416,1.7100970117214815,40.42392927805188
random_pairs,0,salinity,1,854,324,0.8436017105403619,1.5955173637850355,0.7197701470395728,2.0751319020507633,32.12503372646696
random_pairs,0,salinity,2,829,316,0.8458937709154444,1.5766877134826034,0.6674446826933909,2.204408301210709,30.549679819758417
random_pairs,0,salinity,3,821,296,0.8367019810340918,1.4993770594418503,0.612525108330257,2.2789475306168203,27.085200104312946
random_pairs,0,Chl_a_log1p,1,988,402,0.6182713088611299,0.39916333358807154,0.3993724706583054,0.49034927754029217,0.7879146355002569
random_pairs,0,Chl_a_log1p,2,964,398,0.6555875102941834,0.42843596235636866,0.37923844845122845,0.5580486276852996,0.9800321698949414
random_pairs,0,Chl_a_log1p,3,940,388,0.6512356470547043,0.41145938054492004,0.33734840045835024,0.5573686369256451,0.9287922137797576
random_pairs,0,Caffeine,1,880,356,0.4280657552991437,13.337029588892221,0.11922062670970823,16.977247191011234,1708.3055696092665
