target,input,strategy,fold,r2_raw_count,r2_raw_hellinger,n_train,n_test,seed
Chl_a_log1p,18S,temporal_holdout,0,-2.7607174848478073,0.49332235031160565,1150,287,42
Chl_a_log1p,18S,temporal_blocked_kfold,0,-113629.73069935491,-16.789996916706865,1149,288,42
Chl_a_log1p,18S,temporal_blocked_kfold,1,-377.7881435294787,0.13014393999652363,1149,288,42
Chl_a_log1p,18S,temporal_blocked_kfold,2,-255.19744815130122,-3.3360331175445026,1150,287,42
Chl_a_log1p,18S,temporal_blocked_kfold,3,-1.9195907500703702,0.13995821649998452,1150,287,42
Chl_a_log1p,18S,temporal_blocked_kfold,4,-2.7607174848478073,0.49332235031160565,1150,287,42
Chl_a_log1p,18S,leave_one_site_out,0,-0.4060530373126219,0.14308164015539893,1337,100,42
Chl_a_log1p,18S,leave_one_site_out,1,-0.5638411475871459,-0.011969742746456014,1333,104,42
Chl_a_log1p,18S,leave_one_site_out,2,-0.31525274195466046,0.015368103501576025,1337,100,42
Chl_a_log1p,18S,leave_one_site_out,3,-1.1924000034050293,-0.1883478932874234,1337,100,42
Chl_a_log1p,18S,leave_one_site_out,4,-0.17411954312276223,0.04987694155548705,1331,106,42
Chl_a_log1p,18S,leave_one_site_out,5,-68.60334817375931,-1.0284656560161753,1334,103,42
Chl_a_log1p,18S,leave_one_site_out,6,0.18396919375528442,0.5694713258097586,1332,105,42
Chl_a_log1p,18S,leave_one_site_out,7,-1.7163495721557087,0.6584570811803245,1333,104,42
Chl_a_log1p,18S,leave_one_site_out,8,0.5683804309934739,0.6834147888317457,1335,102,42
Chl_a_log1p,18S,leave_one_site_out,9,0.5316985225556154,0.5720963626789763,1333,104,42
Chl_a_log1p,18S,leave_one_site_out,10,0.6744794422223173,0.749675425564944,1333,104,42
Chl_a_log1p,18S,leave_one_site_out,11,0.26771979048247363,0.36902202293714526,1333,104,42
Chl_a_log1p,18S,leave_one_site_out,12,0.09788248504156949,0.1455496947556968,1338,99,42
Chl_a_log1p,18S,leave_one_site_out,13,-0.4833581096229673,0.04009601253095885,1335,102,42
Chl_a_log1p,16S+18S,random_kfold,0,0.7112768633436933,0.7660374941252422,1149,288,42
Chl_a_log1p,16S+18S,random_kfold,1,0.648383539159694,0.7711580974401715,1149,288,42
Chl_a_log1p,16S+18S,random_kfold,2,0.698363998284582,0.8388525677552743,1150,287,42
Chl_a_log1p,16S+18S,random_kfold,3,0.7225740177895297,0.8019228210662122,1150,287,42
Chl_a_log1p,16S+18S,random_kfold,4,0.5979166182173574,0.7168676350086387,1150,287,42
Chl_a_log1p,16S+18S,temporal_holdout,0,-0.5418629884736674,0.5842080890996504,1150,287,42
Chl_a_log1p,16S+18S,temporal_blocked_kfold,0,-67552.76835294838,-6.9249195543236794,1149,288,42
Chl_a_log1p,16S+18S,temporal_blocked_kfold,1,-477.35376823973087,0.24781414124618284,1149,288,42
Chl_a_log1p,16S+18S,temporal_blocked_kfold,2,-122.66552476781406,-0.5691526477133291,1150,287,42
Chl_a_log1p,16S+18S,temporal_blocked_kfold,3,-28.45953682518784,0.1298294207214702,1150,287,42
Chl_a_log1p,16S+18S,temporal_blocked_kfold,4,-0.5418629884736674,0.5842080890996504,1150,287,42
Chl_a_log1p,16S+18S,leave_one_site_out,0,-0.6758146550644839,0.4053056435793023,1337,100,42
Chl_a_log1p,16S+18S,leave_one_site_out,1,-0.3636673944779023,0.1107971112262327,1333,104,42
Chl_a_log1p,16S+18S,leave_one_site_out,2,-0.36412181543208333,-0.06578455753253154,1337,100,42
Chl_a_log1p,16S+18S,leave_one_site_out,3,-0.5698022425897808,0.10520830468505482,1337,100,42
Chl_a_log1p,16S+18S,leave_one_site_out,4,-0.30544817053228557,-0.1458265753681447,1331,106,42
Chl_a_log1p,16S+18S,leave_one_site_out,5,-88.22535315748429,-0.7804769528572293,1334,103,42
Chl_a_log1p,16S+18S,leave_one_site_out,6,-0.7846429463714975,0.6575421625016484,1332,105,42
Chl_a_log1p,16S+18S,leave_one_site_out,7,-0.020874990747077993,0.7244077859493678,1333,104,42
Chl_a_log1p,16S+18S,leave_one_site_out,8,0.6110666610695099,0.7140255054807763,1335,102,42
Chl_a_log1p,16S+18S,leave_one_site_out,9,0.5699742671737007,0.6029556760619065,1333,104,42
Chl_a_log1p,16S+18S,leave_one_site_out,10,0.689132636967727,0.7884586710611518,1333,104,42
Chl_a_log1p,16S+18S,leave_one_site_out,11,0.13671017301042165,0.5071636843233238,1333,104,42
Chl_a_log1p,16S+18S,leave_one_site_out,12,-0.2420805202191978,0.3080773033936889,1338,99,42
Chl_a_log1p,16S+18S,leave_one_site_out,13,-0.5473536148382856,-0.0127536653038125,1335,102,42
