emb_target,input,strategy,fold,pred_target,emb_r2,raw_r2,emb_wins,n_test,seed,model_path
salinity,16S,temporal_blocked_kfold,4,temperature,0.4316954612731933,-6.253901958465576,True,243,42,auto
salinity,16S,temporal_blocked_kfold,4,salinity,0.9271318316459656,0.225225031375885,True,243,42,auto
salinity,16S,temporal_blocked_kfold,4,Chl_a_log1p,0.8149185180664062,0.251076340675354,True,243,42,auto
salinity,18S,random_kfold,0,temperature,0.9465205669403076,0.846520721912384,True,244,42,auto
salinity,18S,random_kfold,0,salinity,0.9615316390991212,0.8491859436035156,True,244,42,auto
salinity,18S,random_kfold,0,Chl_a_log1p,0.7098902463912964,0.601172149181366,True,224,42,auto
salinity,18S,random_kfold,1,temperature,0.9420287013053894,0.8391547203063965,True,243,42,auto
salinity,18S,random_kfold,1,salinity,0.9447053074836732,0.8062032461166382,True,244,42,auto
salinity,18S,random_kfold,1,Chl_a_log1p,0.6664849519729614,0.6569057703018188,True,233,42,auto
salinity,18S,random_kfold,2,temperature,0.9346742630004884,0.8117918968200684,True,243,42,auto
salinity,18S,random_kfold,2,salinity,0.9677398800849916,0.8261164426803589,True,243,42,auto
salinity,18S,random_kfold,2,Chl_a_log1p,0.7322220802307129,0.7003640532493591,True,227,42,auto
salinity,18S,random_kfold,3,temperature,0.9412380456924438,0.5363171100616455,True,243,42,auto
salinity,18S,random_kfold,3,salinity,0.9535857439041138,0.7648059129714966,True,243,42,auto
salinity,18S,random_kfold,3,Chl_a_log1p,0.744226336479187,0.6632177233695984,True,224,42,auto
salinity,18S,random_kfold,4,temperature,0.9401386976242064,0.8228738307952881,True,243,42,auto
salinity,18S,random_kfold,4,salinity,0.9327224493026732,0.7452367544174194,True,243,42,auto
salinity,18S,random_kfold,4,Chl_a_log1p,0.6499037742614746,0.628319501876831,True,227,42,auto
salinity,18S,temporal_blocked_kfold,0,temperature,0.4510695338249206,-75.1915283203125,True,244,42,auto
salinity,18S,temporal_blocked_kfold,0,salinity,0.907429337501526,-107.49121856689452,True,244,42,auto
salinity,18S,temporal_blocked_kfold,0,Chl_a_log1p,0.6744703054428101,-407.7957458496094,True,241,42,auto
salinity,18S,temporal_blocked_kfold,1,temperature,0.6140768527984619,-604.4837036132812,True,244,42,auto
salinity,18S,temporal_blocked_kfold,1,salinity,0.8637624382972717,-201.40122985839844,True,244,42,auto
salinity,18S,temporal_blocked_kfold,1,Chl_a_log1p,0.5494297742843628,-185.6882781982422,True,237,42,auto
salinity,18S,temporal_blocked_kfold,2,temperature,0.187710165977478,-27.27356719970703,True,243,42,auto
salinity,18S,temporal_blocked_kfold,2,salinity,0.8249584436416626,-276.9772644042969,True,243,42,auto
salinity,18S,temporal_blocked_kfold,2,Chl_a_log1p,0.4618808031082153,-1045.5439453125,True,179,42,auto
salinity,18S,temporal_blocked_kfold,3,temperature,-1.2098569869995115,-106.40070343017578,True,242,42,auto
salinity,18S,temporal_blocked_kfold,3,salinity,0.8865859508514404,-1.807302474975586,True,243,42,auto
salinity,18S,temporal_blocked_kfold,3,Chl_a_log1p,0.2995961308479309,-2.368206262588501,True,235,42,auto
salinity,18S,temporal_blocked_kfold,4,temperature,0.6061681509017944,-17.57773208618164,True,243,42,auto
salinity,18S,temporal_blocked_kfold,4,salinity,0.9015619158744812,-2.0921616554260254,True,243,42,auto
salinity,18S,temporal_blocked_kfold,4,Chl_a_log1p,0.6724051237106323,-0.4518052339553833,True,243,42,auto
salinity,16S+18S,random_kfold,0,temperature,0.95281982421875,0.8644533157348633,True,244,42,auto
salinity,16S+18S,random_kfold,0,salinity,0.9750860333442688,0.8922742605209351,True,244,42,auto
salinity,16S+18S,random_kfold,0,Chl_a_log1p,0.729069173336029,0.6290658712387085,True,224,42,auto
salinity,16S+18S,random_kfold,1,temperature,0.9516146183013916,0.8694109916687012,True,243,42,auto
salinity,16S+18S,random_kfold,1,salinity,0.9607630968093872,0.8544990420341492,True,244,42,auto
salinity,16S+18S,random_kfold,1,Chl_a_log1p,0.669379711151123,0.6589221954345703,True,233,42,auto
salinity,16S+18S,random_kfold,2,temperature,0.9476369619369508,0.858891487121582,True,243,42,auto
salinity,16S+18S,random_kfold,2,salinity,0.981920599937439,0.8572019934654236,True,243,42,auto
salinity,16S+18S,random_kfold,2,Chl_a_log1p,0.7478770017623901,0.7370679974555969,True,227,42,auto
salinity,16S+18S,random_kfold,3,temperature,0.9484097361564636,0.7338275909423828,True,243,42,auto
salinity,16S+18S,random_kfold,3,salinity,0.9698266983032228,0.8489515781402588,True,243,42,auto
salinity,16S+18S,random_kfold,3,Chl_a_log1p,0.7204023599624634,0.6951744556427002,True,224,42,auto
salinity,16S+18S,random_kfold,4,temperature,0.9419345855712892,0.8276928663253784,True,243,42,auto
salinity,16S+18S,random_kfold,4,salinity,0.9560548663139344,0.8084548711776733,True,243,42,auto
salinity,16S+18S,random_kfold,4,Chl_a_log1p,0.6630040407180786,0.6263184547424316,True,227,42,auto
salinity,16S+18S,temporal_blocked_kfold,0,temperature,0.16276216506958,-42.67485809326172,True,244,42,auto
salinity,16S+18S,temporal_blocked_kfold,0,salinity,0.8991718292236328,-49.39029693603516,True,244,42,auto
salinity,16S+18S,temporal_blocked_kfold,0,Chl_a_log1p,0.6339313983917236,-460.5916748046875,True,241,42,auto
salinity,16S+18S,temporal_blocked_kfold,1,temperature,0.2752985954284668,-218.8448486328125,True,244,42,auto
salinity,16S+18S,temporal_blocked_kfold,1,salinity,0.9368913769721984,-127.13893127441406,True,244,42,auto
salinity,16S+18S,temporal_blocked_kfold,1,Chl_a_log1p,0.5780147314071655,-117.70748901367188,True,237,42,auto
salinity,16S+18S,temporal_blocked_kfold,2,temperature,0.4868651032447815,-1.8238468170166016,True,243,42,auto
salinity,16S+18S,temporal_blocked_kfold,2,salinity,0.9004839658737183,-87.46858978271484,True,243,42,auto
salinity,16S+18S,temporal_blocked_kfold,2,Chl_a_log1p,0.3276920914649963,-153.3161163330078,True,179,42,auto
salinity,16S+18S,temporal_blocked_kfold,3,temperature,-1.963407039642334,-87.68048095703125,True,242,42,auto
salinity,16S+18S,temporal_blocked_kfold,3,salinity,0.9611188173294068,-1.1926860809326172,True,243,42,auto
salinity,16S+18S,temporal_blocked_kfold,3,Chl_a_log1p,0.2771439552307129,-2.555781364440918,True,235,42,auto
salinity,16S+18S,temporal_blocked_kfold,4,temperature,0.5609360933303833,-10.330151557922363,True,243,42,auto
salinity,16S+18S,temporal_blocked_kfold,4,salinity,0.9333266019821168,0.4653155207633972,True,243,42,auto
salinity,16S+18S,temporal_blocked_kfold,4,Chl_a_log1p,0.7929732203483582,0.1230906844139099,True,243,42,auto
Chl_a_log1p,16S,random_kfold,0,temperature,0.9185467958450316,0.6797178983688354,True,229,42,auto
Chl_a_log1p,16S,random_kfold,0,salinity,0.8949770927429199,0.7591302990913391,True,229,42,auto
Chl_a_log1p,16S,random_kfold,0,Chl_a_log1p,0.7189178466796875,0.5776889324188232,True,288,42,auto
Chl_a_log1p,16S,random_kfold,1,temperature,0.9294832348823548,0.5979092121124268,True,225,42,auto
Chl_a_log1p,16S,random_kfold,1,salinity,0.914852261543274,0.7334942817687988,True,223,42,auto
Chl_a_log1p,16S,random_kfold,1,Chl_a_log1p,0.7842376232147217,0.5249069929122925,True,288,42,auto
Chl_a_log1p,16S,random_kfold,2,temperature,0.9236143231391908,0.6978201270103455,True,230,42,auto
Chl_a_log1p,16S,random_kfold,2,salinity,0.9150320291519164,0.6337906122207642,True,228,42,auto
