target,k,site,n_pairs,n_dropped_gap,n_distinct,pct_zero,pearson,spearman,usable
Caffeine,2,Schwimmhalle Gehlsdorf,80,0,73,0.0,0.47098069409979665,0.5001435948016673,True
Caffeine,2,Stadthafen Rostock,83,0,80,0.0,0.39509425074932786,0.47278852663549853,True
Caffeine,2,Steilkueste Nienhagen,83,2,66,0.0,0.10830471147650646,0.24563678069551512,True
Caffeine,2,Warnemuende Strand,84,0,68,0.0,0.20070413551203087,0.4917082310111903,True
Caffeine,3,Boergerende Strand,81,0,67,0.0,0.5993169684297808,0.279085395484307,True
Caffeine,3,Diedrichshagen,76,3,62,0.0,0.45638556212204895,0.412137123830083,True
Caffeine,3,Elmenhorst Strand,80,3,65,0.0,0.30258287678127027,0.3813691473713319,True
Caffeine,3,Jemnitzschleuse,74,3,60,0.0,0.14331227561194515,-0.00951739053253675,True
Caffeine,3,Mittelmole Warnemuende,71,3,62,0.0,0.2840514075524742,0.39140861487720846,True
Caffeine,3,Muehlendamm,76,3,68,0.0,0.5845464285700664,0.5617048911502882,True
Caffeine,3,Neptun-Werft,68,3,61,0.0,0.35218240972495596,0.4372512527042388,True
Caffeine,3,Parkplatz zur Warnow,73,3,67,0.0,0.359286975695371,0.22857495490154395,True
Caffeine,3,SAB Marina Bramow,76,3,74,0.0,0.3135288187032762,0.4919888445343686,True
Caffeine,3,Schmarl-Dorf / IGA-Park,69,5,65,0.0,0.456627947712199,0.5618645693693077,True
Caffeine,3,Schwimmhalle Gehlsdorf,75,0,68,0.0,0.30219407996788505,0.368854966260071,True
Caffeine,3,Stadthafen Rostock,79,0,77,0.0,0.24027514524017649,0.374763414626243,True
Caffeine,3,Steilkueste Nienhagen,78,3,61,0.0,0.24932253189495945,0.22090875748660868,True
Caffeine,3,Warnemuende Strand,80,0,63,0.0,0.3283502722643217,0.427071548092122,True
Metoprolol,1,Boergerende Strand,88,0,9,89.77272727272727,0.29568064716874787,0.2697512976467217,True
Metoprolol,1,Diedrichshagen,86,1,1,100.0,,,False
Metoprolol,1,Elmenhorst Strand,90,1,1,100.0,,,False
Metoprolol,1,Jemnitzschleuse,85,1,23,74.11764705882354,0.12656680472869597,0.11523372847214243,True
Metoprolol,1,Mittelmole Warnemuende,82,1,2,97.5609756097561,,,False
Metoprolol,1,Muehlendamm,86,1,38,55.81395348837209,0.572430124951756,0.7133321913897451,True
Metoprolol,1,Neptun-Werft,78,1,22,71.7948717948718,0.13064472881186057,0.1413147023838353,True
Metoprolol,1,Parkplatz zur Warnow,82,1,47,40.243902439024396,0.643219654570301,0.5879762560434285,True
Metoprolol,1,SAB Marina Bramow,86,1,68,18.6046511627907,0.23709628827790702,0.4305974972297835,True
Metoprolol,1,Schmarl-Dorf / IGA-Park,81,1,47,38.2716049382716,0.36677603338471293,0.36470052987648066,True
Metoprolol,1,Schwimmhalle Gehlsdorf,83,0,52,37.34939759036144,0.7359447156812694,0.612656664135396,True
