r2,rmse,mae,features,model,target,input,strategy,fold,n_train,n_test,seed,model_path
0.9333266019821167,1.1294033447660592,0.6779589056968689,embedding,ridge,salinity,16S+18S,temporal_blocked_kfold,4,974,243,42,...
0.928947925567627,1.1658995808631463,0.7380709648132324,embedding,knn,salinity,16S+18S,temporal_blocked_kfold,4,974,243,42,...
0.4653155207633972,3.1983171806570305,2.2603585720062256,raw,ridge,salinity,16S+18S,temporal_blocked_kfold,4,974,243,42,...
0.7973194122314453,1.9691501997836176,1.5250581502914429,raw,knn,salinity,16S+18S,temporal_blocked_kfold,4,974,243,42,...
0.9527677297592163,0.6141925771062238,0.43323516845703125,embedding,ridge,salinity,16S+18S,leave_one_site_out,0,1130,87,42,...
0.9684461355209351,0.5020087838392298,0.3789302408695221,embedding,knn,salinity,16S+18S,leave_one_site_out,0,1130,87,42,...
0.5650514960289001,1.8638201240226788,1.37846040725708,raw,ridge,salinity,16S+18S,leave_one_site_out,0,1130,87,42,...
0.6846745014190674,1.5869550775949657,1.1144344806671143,raw,knn,salinity,16S+18S,leave_one_site_out,0,1130,87,42,...
0.9659999012947083,0.5323227821656827,0.36415809392929077,embedding,ridge,salinity,16S+18S,leave_one_site_out,1,1133,84,42,...
0.9620789289474487,0.5621795271201568,0.36140552163124084,embedding,knn,salinity,16S+18S,leave_one_site_out,1,1133,84,42,...
0.7111539840698242,1.5515579853587624,1.2133276462554932,raw,ridge,salinity,16S+18S,leave_one_site_out,1,1133,84,42,...
0.7144567370414734,1.5426619985329026,1.1123334169387817,raw,knn,salinity,16S+18S,leave_one_site_out,1,1133,84,42,...
0.9723809957504272,0.48388570252281976,0.34522145986557007,embedding,ridge,salinity,16S+18S,leave_one_site_out,2,1135,82,42,...
0.9605998396873474,0.57794684165153,0.40942713618278503,embedding,knn,salinity,16S+18S,leave_one_site_out,2,1135,82,42,...
0.6590145826339722,1.7002259525033843,1.2397129535675049,raw,ridge,salinity,16S+18S,leave_one_site_out,2,1135,82,42,...
0.7212966680526733,1.5371272899160509,1.0672489404678345,raw,knn,salinity,16S+18S,leave_one_site_out,2,1135,82,42,...
0.9234088063240051,0.782818821255256,0.4135808050632477,embedding,ridge,salinity,16S+18S,leave_one_site_out,3,1129,88,42,...
0.9309831261634827,0.7431037868362713,0.4029501974582672,embedding,knn,salinity,16S+18S,leave_one_site_out,3,1129,88,42,...
0.5826549530029297,1.827340242888896,1.2419978380203247,raw,ridge,salinity,16S+18S,leave_one_site_out,3,1129,88,42,...
0.6619476079940796,1.6446133772034948,1.1516621112823486,raw,knn,salinity,16S+18S,leave_one_site_out,3,1129,88,42,...
0.7027758359909058,1.4073265617255277,0.6603921055793762,embedding,ridge,salinity,16S+18S,leave_one_site_out,4,1129,88,42,...
0.6587337851524353,1.5079934599605576,0.7304050326347351,embedding,knn,salinity,16S+18S,leave_one_site_out,4,1129,88,42,...
0.1969098448753357,2.3133160981114305,1.339982032775879,raw,ridge,salinity,16S+18S,leave_one_site_out,4,1129,88,42,...
0.32051020860671997,2.127866046403765,1.526127576828003,raw,knn,salinity,16S+18S,leave_one_site_out,4,1129,88,42,...
-206.58973693847656,3.8113674295112583,3.356815814971924,embedding,ridge,salinity,16S+18S,leave_one_site_out,5,1127,90,42,...
-130.82542419433594,3.037228538407843,2.441524028778076,embedding,knn,salinity,16S+18S,leave_one_site_out,5,1127,90,42,...
-13330.935546875,30.543898712102163,14.1972017288208,raw,ridge,salinity,16S+18S,leave_one_site_out,5,1127,90,42,...
-1301.9759521484375,9.548740036219275,8.21238899230957,raw,knn,salinity,16S+18S,leave_one_site_out,5,1127,90,42,...
0.9501252174377441,0.7336974163157067,0.5215017795562744,embedding,ridge,salinity,16S+18S,leave_one_site_out,6,1128,89,42,...
0.9452702403068542,0.7685786513745316,0.5393392443656921,embedding,knn,salinity,16S+18S,leave_one_site_out,6,1128,89,42,...
0.7406712770462036,1.6730226517196694,1.2078393697738647,raw,ridge,salinity,16S+18S,leave_one_site_out,6,1128,89,42,...
0.7755931615829468,1.55630462734449,1.2172762155532837,raw,knn,salinity,16S+18S,leave_one_site_out,6,1128,89,42,...
0.9722453355789185,0.7622509002279869,0.5550748705863953,embedding,ridge,salinity,16S+18S,leave_one_site_out,7,1129,88,42,...
0.9632419943809509,0.8772144905180704,0.6457666158676147,embedding,knn,salinity,16S+18S,leave_one_site_out,7,1129,88,42,...
0.7575744986534119,2.252780467872043,1.5273756980895996,raw,ridge,salinity,16S+18S,leave_one_site_out,7,1129,88,42,...
0.9106652736663818,1.3675396710905796,1.0724176168441772,raw,knn,salinity,16S+18S,leave_one_site_out,7,1129,88,42,...
0.9128442406654358,1.3990971804766763,0.7256616353988647,embedding,ridge,salinity,16S+18S,leave_one_site_out,8,1127,90,42,...
0.9123851656913757,1.4027770496698049,0.8036043047904968,embedding,knn,salinity,16S+18S,leave_one_site_out,8,1127,90,42,...
0.8490389585494995,1.841332483250456,1.3466475009918213,raw,ridge,salinity,16S+18S,leave_one_site_out,8,1127,90,42,...
0.8706759214401245,1.704274201051041,1.2075456380844116,raw,knn,salinity,16S+18S,leave_one_site_out,8,1127,90,42,...
0.9387583136558533,1.0823866608204453,0.6111359596252441,embedding,ridge,salinity,16S+18S,leave_one_site_out,9,1130,87,42,...
0.9245024919509888,1.20178058366484,0.6344095468521118,embedding,knn,salinity,16S+18S,leave_one_site_out,9,1130,87,42,...
0.8935168385505676,1.4272477642288377,1.0954135656356812,raw,ridge,salinity,16S+18S,leave_one_site_out,9,1130,87,42,...
0.9233230352401733,1.2111317632578658,0.9036014676094055,raw,knn,salinity,16S+18S,leave_one_site_out,9,1130,87,42,...
0.9785918593406677,0.7029558826090501,0.526043713092804,embedding,ridge,salinity,16S+18S,leave_one_site_out,10,1131,86,42,...
0.968277096748352,0.8557065171726808,0.6374393701553345,embedding,knn,salinity,16S+18S,leave_one_site_out,10,1131,86,42,...
0.7935165166854858,2.1831370850323295,1.4802029132843018,raw,ridge,salinity,16S+18S,leave_one_site_out,10,1131,86,42,...
0.8768346309661865,1.6860976573540714,1.1642937660217285,raw,knn,salinity,16S+18S,leave_one_site_out,10,1131,86,42,...
0.9421436190605164,1.3273388050294834,0.9153763651847839,embedding,ridge,salinity,16S+18S,leave_one_site_out,11,1128,89,42,...
0.9333099126815796,1.4250718951911243,0.9965088367462158,embedding,knn,salinity,16S+18S,leave_one_site_out,11,1128,89,42,...
0.7889784574508667,2.5349514118782426,1.9316397905349731,raw,ridge,salinity,16S+18S,leave_one_site_out,11,1128,89,42,...
0.8036463260650635,2.4452638468914367,1.8067306280136108,raw,knn,salinity,16S+18S,leave_one_site_out,11,1128,89,42,...
0.9675432443618774,0.5153055068189852,0.40126240253448486,embedding,ridge,salinity,16S+18S,leave_one_site_out,12,1132,85,42,...
0.9691210985183716,0.5026240336653863,0.3721192181110382,embedding,knn,salinity,16S+18S,leave_one_site_out,12,1132,85,42,...
0.6793327927589417,1.619718552029925,1.2971769571304321,raw,ridge,salinity,16S+18S,leave_one_site_out,12,1132,85,42,...
0.7370415329933167,1.466749167650636,1.149385690689087,raw,knn,salinity,16S+18S,leave_one_site_out,12,1132,85,42,...
0.9581924676895142,0.58533309281148,0.42341259121894836,embedding,ridge,salinity,16S+18S,leave_one_site_out,13,1133,84,42,...
