target,input,strategy,r2_mean,mae_mean,rmse_mean,model
temperature,16S,random_kfold,0.9852,0.565,0.763,TabPFN
temperature,16S,temporal_holdout,0.6336,1.088,1.378,TabPFN
temperature,16S,temporal_blocked_kfold,0.5054,1.319,1.709,TabPFN
temperature,16S,leave_one_site_out,0.9552,0.755,1.006,TabPFN
temperature,18S,random_kfold,0.985,0.574,0.768,TabPFN
temperature,18S,temporal_holdout,0.7227,0.954,1.199,TabPFN
temperature,18S,temporal_blocked_kfold,0.5629,1.35,1.711,TabPFN
temperature,18S,leave_one_site_out,0.9807,0.614,0.817,TabPFN
temperature,16S+18S,random_kfold,0.9863,0.552,0.735,TabPFN
temperature,16S+18S,temporal_holdout,0.6345,1.09,1.376,TabPFN
temperature,16S+18S,temporal_blocked_kfold,0.5698,1.315,1.648,TabPFN
temperature,16S+18S,leave_one_site_out,0.9738,0.652,0.873,TabPFN
salinity,16S,random_kfold,0.9702,0.513,0.893,TabPFN
salinity,16S,temporal_holdout,0.9247,0.783,1.201,TabPFN
salinity,16S,temporal_blocked_kfold,0.9225,0.901,1.314,TabPFN
salinity,16S,leave_one_site_out,-8.2956,0.674,0.975,TabPFN
salinity,18S,random_kfold,0.953,0.732,1.124,TabPFN
salinity,18S,temporal_holdout,0.9017,1.073,1.371,TabPFN
salinity,18S,temporal_blocked_kfold,0.8772,1.268,1.659,TabPFN
salinity,18S,leave_one_site_out,-35.1616,1.046,1.436,TabPFN
salinity,16S+18S,random_kfold,0.9706,0.514,0.885,TabPFN
salinity,16S+18S,temporal_holdout,0.9344,0.699,1.121,TabPFN
salinity,16S+18S,temporal_blocked_kfold,0.9295,0.857,1.249,TabPFN
salinity,16S+18S,leave_one_site_out,-13.9414,0.721,1.041,TabPFN
Chl_a_log1p,16S,random_kfold,0.7828,0.284,0.435,TabPFN
Chl_a_log1p,16S,temporal_holdout,0.8214,0.283,0.385,TabPFN
Chl_a_log1p,16S,temporal_blocked_kfold,0.6401,0.38,0.517,TabPFN
Chl_a_log1p,16S,leave_one_site_out,0.3998,0.296,0.441,TabPFN
Chl_a_log1p,18S,random_kfold,0.7915,0.278,0.427,TabPFN
Chl_a_log1p,18S,temporal_holdout,0.8406,0.257,0.364,TabPFN
Chl_a_log1p,18S,temporal_blocked_kfold,0.6808,0.346,0.487,TabPFN
Chl_a_log1p,18S,leave_one_site_out,0.4144,0.29,0.43,TabPFN
Chl_a_log1p,16S+18S,random_kfold,0.7937,0.275,0.424,TabPFN
Chl_a_log1p,16S+18S,temporal_holdout,0.8484,0.255,0.355,TabPFN
Chl_a_log1p,16S+18S,temporal_blocked_kfold,0.6625,0.359,0.495,TabPFN
Chl_a_log1p,16S+18S,leave_one_site_out,0.4238,0.286,0.429,TabPFN
Caffeine,16S,random_kfold,0.4386,16.182,29.072,Lasso
Caffeine,16S,temporal_holdout,-1.4935,23.207,38.957,Lasso
Caffeine,16S,temporal_blocked_kfold,-259.389,103.731,303.717,Lasso
Caffeine,16S,leave_one_site_out,0.0044,16.385,28.924,Lasso
Caffeine,18S,random_kfold,0.401,16.307,29.947,Lasso
Caffeine,18S,temporal_holdout,0.0983,13.416,23.427,Lasso
Caffeine,18S,temporal_blocked_kfold,-682.0566,265.224,742.18,Lasso
Caffeine,18S,leave_one_site_out,-27.9064,35.429,79.525,Lasso
Caffeine,16S+18S,random_kfold,0.4935,14.764,27.683,Lasso
Caffeine,16S+18S,temporal_holdout,0.2746,12.828,21.012,Lasso
Caffeine,16S+18S,temporal_blocked_kfold,-6.1965,38.211,73.113,Lasso
Caffeine,16S+18S,leave_one_site_out,-2.0637,18.007,39.027,Lasso
Metoprolol,16S,random_kfold,0.3427,17.272,32.085,Lasso
Metoprolol,16S,temporal_holdout,0.1746,16.415,27.002,Lasso
Metoprolol,16S,temporal_blocked_kfold,-0.4687,22.113,37.439,Lasso
Metoprolol,16S,leave_one_site_out,-2.0477,19.308,29.481,Lasso
Metoprolol,18S,random_kfold,0.2635,19.347,33.986,Lasso
Metoprolol,18S,temporal_holdout,0.0484,18.06,28.992,Lasso
Metoprolol,18S,temporal_blocked_kfold,-1.251,26.234,45.737,Lasso
Metoprolol,18S,leave_one_site_out,-135.5747,38.24,93.637,Lasso
Metoprolol,16S+18S,random_kfold,0.3235,17.257,32.54,Lasso
Metoprolol,16S+18S,temporal_holdout,0.1774,15.922,26.956,Lasso
Metoprolol,16S+18S,temporal_blocked_kfold,-1.1582,24.317,44.922,Lasso
Metoprolol,16S+18S,leave_one_site_out,-138.65381212461023,33.45868046116373,92.1472382338734,Lasso
Atrazine,16S,random_kfold,0.0714,0.272,0.707,Lasso
Atrazine,16S,temporal_holdout,-0.0111960048901604,0.2505667664597529,0.5956985970643283,Lasso
Atrazine,16S,temporal_blocked_kfold,-0.091,0.318,0.677,Lasso
Atrazine,16S,leave_one_site_out,0.0531370010509077,0.2771170801228036,0.5936870063391613,Lasso
Atrazine,18S,random_kfold,-0.0204285906855933,0.2769570103915296,0.7382041947354747,Lasso
Atrazine,18S,temporal_holdout,-0.0118585254252219,0.252540144204419,0.595893711526939,Lasso
Atrazine,18S,temporal_blocked_kfold,-0.0468018714086845,0.3039529503242832,0.6638995578169637,Lasso
Atrazine,18S,leave_one_site_out,0.0139498266060275,0.2615474287157914,0.5886046357411114,Lasso
Atrazine,16S+18S,random_kfold,0.0837103295237353,0.2588590005118399,0.7056394422329776,Lasso
Atrazine,16S+18S,temporal_holdout,-0.0068082069809454,0.2369411488168573,0.5944047595289487,Lasso
Atrazine,16S+18S,temporal_blocked_kfold,-0.0581127303103185,0.3057221535394886,0.6628339983763001,Lasso
Atrazine,16S+18S,leave_one_site_out,0.0378774607423357,0.2492611243088688,0.5820932634537466,Lasso
Caffeine,16S,random_kfold,0.6221,12.383,23.981,RF
Caffeine,16S,temporal_holdout,0.4203,10.659,18.784,RF
Caffeine,16S,temporal_blocked_kfold,0.292,19.03,30.351,RF
Caffeine,16S,leave_one_site_out,0.3937725388412555,13.161086080672463,23.808641351450365,RF
Caffeine,18S,random_kfold,0.5191320992435502,13.723088595126177,27.023231759100646,RF
Caffeine,18S,temporal_holdout,0.1523976040478066,11.06828338279767,22.713331956940625,RF
Caffeine,18S,temporal_blocked_kfold,-0.0132425089977134,21.757191850498693,35.58889220115596,RF
Caffeine,18S,leave_one_site_out,0.2522737817067073,14.588187826452872,26.342986364016408,RF
Caffeine,16S+18S,random_kfold,0.6327713853777623,12.075141788372967,23.63458668025103,RF
Caffeine,16S+18S,temporal_holdout,0.3729988362377352,10.844517482880535,19.5352482180826,RF
Caffeine,16S+18S,temporal_blocked_kfold,0.2515099887302406,19.932531563410688,31.288218193485363,RF
Caffeine,16S+18S,leave_one_site_out,0.4067859838157466,12.823780196741206,23.558350200296207,RF
Metoprolol,16S,random_kfold,0.4953,13.595,28.081,RF
Metoprolol,16S,temporal_holdout,0.2478228714069619,11.60788495966937,25.77650939388052,RF
Metoprolol,16S,temporal_blocked_kfold,0.0424,18.524,33.198,RF
Metoprolol,16S,leave_one_site_out,-1.7684807013014685,15.70362793907547,24.26679405455605,RF
Metoprolol,18S,random_kfold,0.3684905414074321,16.044762547388167,31.21751923641885,RF
Metoprolol,18S,temporal_holdout,0.1351303882880385,13.125398528909558,27.64008426693531,RF
Metoprolol,18S,temporal_blocked_kfold,-0.1789062216486445,21.13796283709592,36.18865643369744,RF
Metoprolol,18S,leave_one_site_out,-2.840061461261049,17.747572025199794,26.97769439111886,RF
Metoprolol,16S+18S,random_kfold,0.4902641455379238,13.534795008977062,28.21183694778572,RF
Metoprolol,16S+18S,temporal_holdout,0.2382390609887595,11.321202755182693,25.94020438132827,RF
Metoprolol,16S+18S,temporal_blocked_kfold,-0.0012342847845778,19.24893754700416,33.83996814479478,RF
Metoprolol,16S+18S,leave_one_site_out,-1.896988546938768,15.733096493851113,24.26449534146869,RF
Atrazine,16S,random_kfold,0.1182,0.254,0.685,RF
Atrazine,16S,temporal_holdout,0.0557777330032591,0.1603172526693046,0.5756334511779793,RF
Atrazine,16S,temporal_blocked_kfold,-0.1012,0.276,0.674,RF
Atrazine,16S,leave_one_site_out,0.0779393749051113,0.2609440571450002,0.572576368473092,RF
Atrazine,18S,random_kfold,0.1917346742192498,0.2536688647035192,0.6610715462829118,RF
Atrazine,18S,temporal_holdout,0.0124126514308382,0.1558042230269518,0.5887035621086925,RF
Atrazine,18S,temporal_blocked_kfold,-0.2041696515069376,0.3143267671801804,0.7202900118453052,RF
Atrazine,18S,leave_one_site_out,0.0610268489154806,0.2571197699598916,0.5636002959633796,RF
Atrazine,16S+18S,random_kfold,0.1549416425309711,0.2510816829397958,0.672029585575534,RF
Atrazine,16S+18S,temporal_holdout,0.0219251853157023,0.1463122810485714,0.5858614778053977,RF
Atrazine,16S+18S,temporal_blocked_kfold,-0.1368403737025253,0.2995272792566614,0.7018545661772011,RF
Atrazine,16S+18S,leave_one_site_out,0.0784577605918458,0.2549821040129217,0.5646213045692837,RF
Caffeine,16S,random_kfold,0.6002,12.233,24.394,XGBoost
Caffeine,16S,temporal_holdout,0.4307252891867994,10.527007969405298,18.61425701169278,XGBoost
Caffeine,16S,temporal_blocked_kfold,0.2454,18.985,31.081,XGBoost
Caffeine,16S,leave_one_site_out,0.289510321320707,13.094989341505787,24.058421438148788,XGBoost
Caffeine,18S,random_kfold,0.4338840723750626,14.142639891017126,28.925416634910324,XGBoost
Caffeine,18S,temporal_holdout,0.1958553968235197,12.584864662229554,22.123398193714436,XGBoost
Caffeine,18S,temporal_blocked_kfold,-0.1053725925868104,23.286333361079315,36.57681859602119,XGBoost
Caffeine,18S,leave_one_site_out,-0.0093855619062076,14.646545216887288,28.026785974619592,XGBoost
Caffeine,16S+18S,random_kfold,0.6349642693327345,12.088062825463975,23.49462133563605,XGBoost
Caffeine,16S+18S,temporal_holdout,0.311020853352521,11.482517743665118,20.478012275848965,XGBoost
Caffeine,16S+18S,temporal_blocked_kfold,0.2275652377241038,19.736414748087903,31.61261220309229,XGBoost
Caffeine,16S+18S,leave_one_site_out,0.2437255806931512,12.74857235309604,24.134844300834803,XGBoost
Metoprolol,16S,random_kfold,0.4769,13.389,28.388,XGBoost
Metoprolol,16S,temporal_holdout,0.2218400900643418,11.469427391553015,26.217934256581746,XGBoost
Metoprolol,16S,temporal_blocked_kfold,-0.3674,19.802,37.741,XGBoost
Metoprolol,16S,leave_one_site_out,-2.118052905188238,15.591124781309231,26.637370294947186,XGBoost
Metoprolol,18S,random_kfold,0.3330395093272339,16.485331834971376,32.17102468778886,XGBoost
Metoprolol,18S,temporal_holdout,0.0719671550898807,13.458418228267242,28.63160654236653,XGBoost
Metoprolol,18S,temporal_blocked_kfold,-0.2403994354742584,22.589194921040995,37.14180763568693,XGBoost
Metoprolol,18S,leave_one_site_out,-1.6957084698176923,17.556770860015224,26.97256237389983,XGBoost
Metoprolol,16S+18S,random_kfold,0.4664098280115817,13.66313271397529,28.836057897956643,XGBoost
Metoprolol,16S+18S,temporal_holdout,0.1921714244811292,11.44124937536173,26.713060611747103,XGBoost
Metoprolol,16S+18S,temporal_blocked_kfold,-0.3978849656414506,20.380258203887077,37.45914038842212,XGBoost
Metoprolol,16S+18S,leave_one_site_out,-2.3219425955785598,15.642791833028095,25.73207173805528,XGBoost
Atrazine,16S,random_kfold,-0.0342,0.267,0.73,XGBoost
Atrazine,16S,temporal_holdout,0.038222032063556,0.2198549715296704,0.5809601140611066,XGBoost
Atrazine,16S,temporal_blocked_kfold,-0.1045,0.27,0.685,XGBoost
Atrazine,16S,leave_one_site_out,-0.0090375486982584,0.2668756039827311,0.6270212232791973,XGBoost
Atrazine,18S,random_kfold,0.0764959586050809,0.242890714409646,0.7038612084719169,XGBoost
Atrazine,18S,temporal_holdout,-0.6748263023538745,0.190392710534177,0.766644088216105,XGBoost
Atrazine,18S,temporal_blocked_kfold,-0.7043209630998695,0.3400559125872801,0.8853066498252466,XGBoost
Atrazine,18S,leave_one_site_out,-0.1033562789985157,0.2530305730923778,0.6169624314389613,XGBoost
Atrazine,16S+18S,random_kfold,-0.0775713887719967,0.2501818041201658,0.7495615480653783,XGBoost
Atrazine,16S+18S,temporal_holdout,-0.6575601835112159,0.2178505016043204,0.7626821070396707,XGBoost
Atrazine,16S+18S,temporal_blocked_kfold,-0.6436379808183705,0.3309438066862046,0.8310749057195996,XGBoost
Atrazine,16S+18S,leave_one_site_out,-0.0591190955597637,0.248089324788326,0.6342088864869055,XGBoost
Caffeine,16S,random_kfold,0.6887,10.581,21.812,TabPFN
Caffeine,16S,temporal_holdout,0.4995,9.317,17.454,TabPFN
Caffeine,16S,temporal_blocked_kfold,0.3416,17.34,29.316,TabPFN
Caffeine,16S,leave_one_site_out,0.4331,11.425,22.142,TabPFN
Caffeine,18S,random_kfold,0.5976,11.926,24.684,TabPFN
Caffeine,18S,temporal_holdout,0.2128,10.498,21.888,TabPFN
Caffeine,18S,temporal_blocked_kfold,0.0253,19.96,34.693,TabPFN
Caffeine,18S,leave_one_site_out,0.347,12.859,24.628,TabPFN
Caffeine,16S+18S,random_kfold,0.6581,10.948,22.839,TabPFN
Caffeine,16S+18S,temporal_holdout,0.3577,10.109,19.772,TabPFN
Caffeine,16S+18S,temporal_blocked_kfold,0.2291,18.55,31.18,TabPFN
Caffeine,16S+18S,leave_one_site_out,0.3916,12.232,23.407,TabPFN
Metoprolol,16S,random_kfold,0.5434,11.703,26.769,TabPFN
Metoprolol,16S,temporal_holdout,0.0803,11.157,28.503,TabPFN
Metoprolol,16S,temporal_blocked_kfold,0.1051,17.053,33.079,TabPFN
Metoprolol,16S,leave_one_site_out,-1.7025,13.262,21.818,TabPFN
Metoprolol,18S,random_kfold,0.4679,12.895,28.725,TabPFN
Metoprolol,18S,temporal_holdout,0.0877,11.997,28.388,TabPFN
Metoprolol,18S,temporal_blocked_kfold,-0.0199,18.705,35.176,TabPFN
Metoprolol,18S,leave_one_site_out,-2.1418,14.536,23.2,TabPFN
Metoprolol,16S+18S,random_kfold,0.5342,11.863,27.044,TabPFN
Metoprolol,16S+18S,temporal_holdout,0.0652,11.639,28.736,TabPFN
Metoprolol,16S+18S,temporal_blocked_kfold,0.1139,17.023,32.957,TabPFN
Metoprolol,16S+18S,leave_one_site_out,-1.4579,13.477,22.074,TabPFN
Atrazine,16S,random_kfold,0.1497,0.186,0.678,TabPFN
Atrazine,16S,temporal_holdout,-0.0057,0.112,0.594,TabPFN
Atrazine,16S,temporal_blocked_kfold,-0.0412,0.177,0.631,TabPFN
Atrazine,16S,leave_one_site_out,0.0736,0.185,0.553,TabPFN
Atrazine,18S,random_kfold,0.1745,0.183,0.669,TabPFN
Atrazine,18S,temporal_holdout,-0.0194,0.106,0.598,TabPFN
Atrazine,18S,temporal_blocked_kfold,-0.0432,0.181,0.637,TabPFN
Atrazine,18S,leave_one_site_out,0.0789,0.183,0.55,TabPFN
Atrazine,16S+18S,random_kfold,0.168,0.183,0.671,TabPFN
Atrazine,16S+18S,temporal_holdout,-0.014,0.111,0.597,TabPFN
Atrazine,16S+18S,temporal_blocked_kfold,-0.0455,0.183,0.635,TabPFN
Atrazine,16S+18S,leave_one_site_out,0.0796,0.183,0.549,TabPFN
